date,fuel_type,variable_group,variable_name,unit,value
2026-04-03,Petrol,tax,custom_duty,NRs_per_KL,25200
2026-04-03,Diesel,tax,custom_duty,NRs_per_KL,12000
2026-04-03,Kerosene,tax,custom_duty,NRs_per_KL,12000
2026-04-03,ATF_DP,tax,custom_duty,NRs_per_KL,2100
2026-04-03,ATF_DF,tax,custom_duty,NRs_per_KL,2100
2026-04-03,LP_Gas,tax,custom_duty,NRs_per_cylinder,90.42
2026-04-03,Petrol,tax,cargo_vehicle_charge,NRs_per_KL,0
2026-04-03,Diesel,tax,cargo_vehicle_charge,NRs_per_KL,0
2026-04-03,Kerosene,tax,cargo_vehicle_charge,NRs_per_KL,0
2026-04-03,ATF_DP,tax,cargo_vehicle_charge,NRs_per_KL,0
2026-04-03,ATF_DF,tax,cargo_vehicle_charge,NRs_per_KL,0
2026-04-03,LP_Gas,tax,cargo_vehicle_charge,NRs_per_cylinder,1.18
2026-04-03,Petrol,tax,custom_service_charge,NRs_per_KL,25
2026-04-03,Diesel,tax,custom_service_charge,NRs_per_KL,25
2026-04-03,Kerosene,tax,custom_service_charge,NRs_per_KL,25
2026-04-03,ATF_DP,tax,custom_service_charge,NRs_per_KL,25
2026-04-03,ATF_DF,tax,custom_service_charge,NRs_per_KL,25
2026-04-03,LP_Gas,tax,custom_service_charge,NRs_per_cylinder,0.39
2026-04-03,Petrol,tax,road_maintenance_charge,NRs_per_KL,4000
2026-04-03,Diesel,tax,road_maintenance_charge,NRs_per_KL,2000
2026-04-03,Kerosene,tax,road_maintenance_charge,NRs_per_KL,0
2026-04-03,ATF_DP,tax,road_maintenance_charge,NRs_per_KL,0
2026-04-03,ATF_DF,tax,road_maintenance_charge,NRs_per_KL,0
2026-04-03,LP_Gas,tax,road_maintenance_charge,NRs_per_cylinder,0
2026-04-03,Petrol,tax,pollution_charge,NRs_per_KL,1500
2026-04-03,Diesel,tax,pollution_charge,NRs_per_KL,1500
2026-04-03,Kerosene,tax,pollution_charge,NRs_per_KL,0
2026-04-03,ATF_DP,tax,pollution_charge,NRs_per_KL,0
2026-04-03,ATF_DF,tax,pollution_charge,NRs_per_KL,0
2026-04-03,LP_Gas,tax,pollution_charge,NRs_per_cylinder,0
2026-04-03,Petrol,tax,green_tax,NRs_per_KL,1000
2026-04-03,Diesel,tax,green_tax,NRs_per_KL,1000
2026-04-03,Kerosene,tax,green_tax,NRs_per_KL,0
2026-04-03,ATF_DP,tax,green_tax,NRs_per_KL,0
2026-04-03,ATF_DF,tax,green_tax,NRs_per_KL,0
2026-04-03,LP_Gas,tax,green_tax,NRs_per_cylinder,0
2026-04-03,Petrol,tax,psf_transfer,NRs_per_KL,2020
2026-04-03,Diesel,tax,psf_transfer,NRs_per_KL,1820
2026-04-03,Kerosene,tax,psf_transfer,NRs_per_KL,1820
2026-04-03,ATF_DP,tax,psf_transfer,NRs_per_KL,2510
2026-04-03,ATF_DF,tax,psf_transfer,NRs_per_KL,2703.2
2026-04-03,LP_Gas,tax,psf_transfer,NRs_per_cylinder,19.1
2026-04-03,Petrol,tax,infrastructure_development_tax,NRs_per_KL,10000
2026-04-03,Diesel,tax,infrastructure_development_tax,NRs_per_KL,10000
2026-04-03,Kerosene,tax,infrastructure_development_tax,NRs_per_KL,0
2026-04-03,ATF_DP,tax,infrastructure_development_tax,NRs_per_KL,0
2026-04-03,ATF_DF,tax,infrastructure_development_tax,NRs_per_KL,0
2026-04-03,LP_Gas,tax,infrastructure_development_tax,NRs_per_cylinder,0
2026-04-03,Petrol,tax,vat_13pct,NRs_per_KL,23238.94
2026-04-03,Diesel,tax,vat_13pct,NRs_per_KL,20938.05
2026-04-03,Kerosene,tax,vat_13pct,NRs_per_KL,20938.05
