date,fuel_type,variable_group,variable_name,unit,value,__rowNumber,value_original,unit_original,rate_currency,value_per_liter_equivalent,value_per_KL_equivalent,value_per_cylinder_equivalent,standardization_status,standardization_note
2026-04-03,Petrol,tax,custom_duty,NRs_per_KL,25200,2,25200,NRs_per_KL,NRs,25.2,25200,,converted_from_per_KL,
2026-04-03,Diesel,tax,custom_duty,NRs_per_KL,12000,3,12000,NRs_per_KL,NRs,12,12000,,converted_from_per_KL,
2026-04-03,Kerosene,tax,custom_duty,NRs_per_KL,12000,4,12000,NRs_per_KL,NRs,12,12000,,converted_from_per_KL,
2026-04-03,ATF_DP,tax,custom_duty,NRs_per_KL,2100,5,2100,NRs_per_KL,NRs,2.1,2100,,converted_from_per_KL,
2026-04-03,ATF_DF,tax,custom_duty,NRs_per_KL,2100,6,2100,NRs_per_KL,NRs,2.1,2100,,converted_from_per_KL,
2026-04-03,LP_Gas,tax,custom_duty,NRs_per_cylinder,90.42,7,90.42,NRs_per_cylinder,NRs,,,90.42,kept_per_cylinder,
2026-04-03,Petrol,tax,cargo_vehicle_charge,NRs_per_KL,0,8,0,NRs_per_KL,NRs,0,0,,converted_from_per_KL,
2026-04-03,Diesel,tax,cargo_vehicle_charge,NRs_per_KL,0,9,0,NRs_per_KL,NRs,0,0,,converted_from_per_KL,
2026-04-03,Kerosene,tax,cargo_vehicle_charge,NRs_per_KL,0,10,0,NRs_per_KL,NRs,0,0,,converted_from_per_KL,
2026-04-03,ATF_DP,tax,cargo_vehicle_charge,NRs_per_KL,0,11,0,NRs_per_KL,NRs,0,0,,converted_from_per_KL,
2026-04-03,ATF_DF,tax,cargo_vehicle_charge,NRs_per_KL,0,12,0,NRs_per_KL,NRs,0,0,,converted_from_per_KL,
2026-04-03,LP_Gas,tax,cargo_vehicle_charge,NRs_per_cylinder,1.18,13,1.18,NRs_per_cylinder,NRs,,,1.18,kept_per_cylinder,
2026-04-03,Petrol,tax,custom_service_charge,NRs_per_KL,25,14,25,NRs_per_KL,NRs,0.025,25,,converted_from_per_KL,
2026-04-03,Diesel,tax,custom_service_charge,NRs_per_KL,25,15,25,NRs_per_KL,NRs,0.025,25,,converted_from_per_KL,
2026-04-03,Kerosene,tax,custom_service_charge,NRs_per_KL,25,16,25,NRs_per_KL,NRs,0.025,25,,converted_from_per_KL,
2026-04-03,ATF_DP,tax,custom_service_charge,NRs_per_KL,25,17,25,NRs_per_KL,NRs,0.025,25,,converted_from_per_KL,
2026-04-03,ATF_DF,tax,custom_service_charge,NRs_per_KL,25,18,25,NRs_per_KL,NRs,0.025,25,,converted_from_per_KL,
2026-04-03,LP_Gas,tax,custom_service_charge,NRs_per_cylinder,0.39,19,0.39,NRs_per_cylinder,NRs,,,0.39,kept_per_cylinder,
2026-04-03,Petrol,tax,road_maintenance_charge,NRs_per_KL,4000,20,4000,NRs_per_KL,NRs,4,4000,,converted_from_per_KL,
2026-04-03,Diesel,tax,road_maintenance_charge,NRs_per_KL,2000,21,2000,NRs_per_KL,NRs,2,2000,,converted_from_per_KL,
