date,ioc_price_effective_date,fuel_type,depot,category,variable_name,display_name,value,unit
2026-04-03,2026-04-01,Petrol,Barauni,pricing,ex_depot_price_ioc_prev,"Ex-Depot Price IOC (Previous: 2026-03-16)",70.0513,IRs_per_liter
2026-04-03,2026-04-01,Diesel,Amj/Barauni,pricing,ex_depot_price_ioc_prev,"Ex-Depot Price IOC (Previous: 2026-03-16)",92.136,IRs_per_liter
2026-04-03,2026-04-01,Kerosene,Barauni,pricing,ex_depot_price_ioc_prev,"Ex-Depot Price IOC (Previous: 2026-03-16)",55.9402,IRs_per_liter
2026-04-03,2026-04-01,ATF_DP,Barauni,pricing,ex_depot_price_ioc_prev,"Ex-Depot Price IOC (Previous: 2026-03-16)",56.0076,IRs_per_liter
2026-04-03,2026-04-01,ATF_DF,Barauni,pricing,ex_depot_price_ioc_prev,"Ex-Depot Price IOC (Previous: 2026-03-16)",56.0076,IRs_per_liter
2026-04-03,2026-04-01,LP_Gas,Barauni,pricing,ex_depot_price_ioc_prev,"Ex-Depot Price IOC (Previous: 2026-03-16)",936.4,IRs_per_cylinder
2026-04-03,2026-04-01,Petrol,Barauni,pricing,price_difference_irs,"IOC Price Difference (IRs)",25.9731,IRs_per_liter
2026-04-03,2026-04-01,Diesel,Amj/Barauni,pricing,price_difference_irs,"IOC Price Difference (IRs)",59.2763,IRs_per_liter
2026-04-03,2026-04-01,Kerosene,Barauni,pricing,price_difference_irs,"IOC Price Difference (IRs)",67.6335,IRs_per_liter
2026-04-03,2026-04-01,ATF_DP,Barauni,pricing,price_difference_irs,"IOC Price Difference (IRs)",77.304,IRs_per_liter
2026-04-03,2026-04-01,ATF_DF,Barauni,pricing,price_difference_irs,"IOC Price Difference (IRs)",77.304,IRs_per_liter
2026-04-03,2026-04-01,LP_Gas,Barauni,pricing,price_difference_irs,"IOC Price Difference (IRs)",118.86,IRs_per_cylinder
2026-04-03,2026-04-01,Petrol,Barauni,pricing,price_difference_nrs,"IOC Price Difference (NRs)",41.6,NRs_per_liter
2026-04-03,2026-04-01,Diesel,Amj/Barauni,pricing,price_difference_nrs,"IOC Price Difference (NRs)",94.93,NRs_per_liter
2026-04-03,2026-04-01,Kerosene,Barauni,pricing,price_difference_nrs,"IOC Price Difference (NRs)",108.31,NRs_per_liter
2026-04-03,2026-04-01,ATF_DP,Barauni,pricing,price_difference_nrs,"IOC Price Difference (NRs)",123.8,NRs_per_liter
2026-04-03,2026-04-01,ATF_DF,Barauni,pricing,price_difference_nrs,"IOC Price Difference (NRs)",123.8,NRs_per_liter
2026-04-03,2026-04-01,LP_Gas,Barauni,pricing,price_difference_nrs,"IOC Price Difference (NRs)",190.36,NRs_per_liter
2026-04-03,2026-04-01,Petrol,Barauni,pricing,ex_depot_price_ioc_current,"Ex-Depot Price IOC (Current: 2026-04-01)",96.0244,IRs_per_liter
2026-04-03,2026-04-01,Diesel,Amj/Barauni,pricing,ex_depot_price_ioc_current,"Ex-Depot Price IOC (Current: 2026-04-01)",151.4123,IRs_per_liter
2026-04-03,2026-04-01,Kerosene,Barauni,pricing,ex_depot_price_ioc_current,"Ex-Depot Price IOC (Current: 2026-04-01)",123.5737,IRs_per_liter
2026-04-03,2026-04-01,ATF_DP,Barauni,pricing,ex_depot_price_ioc_current,"Ex-Depot Price IOC (Current: 2026-04-01)",133.3116,IRs_per_liter
2026-04-03,2026-04-01,ATF_DF,Barauni,pricing,ex_depot_price_ioc_current,"Ex-Depot Price IOC (Current: 2026-04-01)",133.3116,IRs_per_liter
2026-04-03,2026-04-01,LP_Gas,Barauni,pricing,ex_depot_price_ioc_current,"Ex-Depot Price IOC (Current: 2026-04-01)",1055.27,IRs_per_cylinder
2026-04-03,2026-04-01,Petrol,Barauni,pricing,ex_depot_price_nrs,"Ex-Depot Price (NRs)",153.7831,NRs_per_liter
2026-04-03,2026-04-01,Diesel,Amj/Barauni,pricing,ex_depot_price_nrs,"Ex-Depot Price (NRs)",242.4868,NRs_per_liter
2026-04-03,2026-04-01,Kerosene,Barauni,pricing,ex_depot_price_nrs,"Ex-Depot Price (NRs)",197.9032,NRs_per_liter
2026-04-03,2026-04-01,ATF_DP,Barauni,pricing,ex_depot_price_nrs,"Ex-Depot Price (NRs)",213.4985,NRs_per_liter
2026-04-03,2026-04-01,ATF_DF,Barauni,pricing,ex_depot_price_nrs,"Ex-Depot Price (NRs)",213.4985,NRs_per_liter
2026-04-03,2026-04-01,LP_Gas,Barauni,pricing,ex_depot_price_nrs,"Ex-Depot Price (NRs)",1690.01,NRs_per_cylinder
2026-04-03,2026-04-01,Petrol,Barauni,tax,custom_duty,"Custom Duty",25.2,NRs_per_liter
2026-04-03,2026-04-01,Diesel,Amj/Barauni,tax,custom_duty,"Custom Duty",12,NRs_per_liter
2026-04-03,2026-04-01,Kerosene,Barauni,tax,custom_duty,"Custom Duty",12,NRs_per_liter
2026-04-03,2026-04-01,ATF_DP,Barauni,tax,custom_duty,"Custom Duty",2.1,NRs_per_liter
2026-04-03,2026-04-01,ATF_DF,Barauni,tax,custom_duty,"Custom Duty",2.1,NRs_per_liter
2026-04-03,2026-04-01,LP_Gas,Barauni,tax,custom_duty,"Custom Duty",90.42,NRs_per_cylinder
2026-04-03,2026-04-01,Petrol,Barauni,tax,cargo_vehicle_charge,"Cargo Vehicle Charge (CVC)",0,NRs_per_liter
2026-04-03,2026-04-01,Diesel,Amj/Barauni,tax,cargo_vehicle_charge,"Cargo Vehicle Charge (CVC)",0,NRs_per_liter
2026-04-03,2026-04-01,Kerosene,Barauni,tax,cargo_vehicle_charge,"Cargo Vehicle Charge (CVC)",0,NRs_per_liter
2026-04-03,2026-04-01,ATF_DP,Barauni,tax,cargo_vehicle_charge,"Cargo Vehicle Charge (CVC)",0,NRs_per_liter
2026-04-03,2026-04-01,ATF_DF,Barauni,tax,cargo_vehicle_charge,"Cargo Vehicle Charge (CVC)",0,NRs_per_liter
2026-04-03,2026-04-01,LP_Gas,Barauni,tax,cargo_vehicle_charge,"Cargo Vehicle Charge (CVC)",1.18,NRs_per_cylinder
2026-04-03,2026-04-01,Petrol,Barauni,tax,custom_service_charge,"Custom Service Charge",0.025,NRs_per_liter
2026-04-03,2026-04-01,Diesel,Amj/Barauni,tax,custom_service_charge,"Custom Service Charge",0.025,NRs_per_liter
2026-04-03,2026-04-01,Kerosene,Barauni,tax,custom_service_charge,"Custom Service Charge",0.025,NRs_per_liter
2026-04-03,2026-04-01,ATF_DP,Barauni,tax,custom_service_charge,"Custom Service Charge",0.025,NRs_per_liter
2026-04-03,2026-04-01,ATF_DF,Barauni,tax,custom_service_charge,"Custom Service Charge",0.025,NRs_per_liter
2026-04-03,2026-04-01,LP_Gas,Barauni,tax,custom_service_charge,"Custom Service Charge",0.39,NRs_per_cylinder
2026-04-03,2026-04-01,Petrol,Barauni,tax,road_maintenance_charge,"Road Maintenance Charge",4,NRs_per_liter
2026-04-03,2026-04-01,Diesel,Amj/Barauni,tax,road_maintenance_charge,"Road Maintenance Charge",2,NRs_per_liter
2026-04-03,2026-04-01,Kerosene,Barauni,tax,road_maintenance_charge,"Road Maintenance Charge",0,NRs_per_liter
2026-04-03,2026-04-01,ATF_DP,Barauni,tax,road_maintenance_charge,"Road Maintenance Charge",0,NRs_per_liter
2026-04-03,2026-04-01,ATF_DF,Barauni,tax,road_maintenance_charge,"Road Maintenance Charge",0,NRs_per_liter
2026-04-03,2026-04-01,LP_Gas,Barauni,tax,road_maintenance_charge,"Road Maintenance Charge",0,NRs_per_cylinder
2026-04-03,2026-04-01,Petrol,Barauni,tax,pollution_charge,"Pollution Charge",1.5,NRs_per_liter
2026-04-03,2026-04-01,Diesel,Amj/Barauni,tax,pollution_charge,"Pollution Charge",1.5,NRs_per_liter
2026-04-03,2026-04-01,Kerosene,Barauni,tax,pollution_charge,"Pollution Charge",0,NRs_per_liter
2026-04-03,2026-04-01,ATF_DP,Barauni,tax,pollution_charge,"Pollution Charge",0,NRs_per_liter
2026-04-03,2026-04-01,ATF_DF,Barauni,tax,pollution_charge,"Pollution Charge",0,NRs_per_liter
